"","Text_name","State_cap_travel_time"
"150","Itaju do Colônia_BA",1349.05218520548
"151","Orizânia_MG",1305.20624417607
"152","Osvaldo Cruz_SP",564.987052546661
"153","Uruará_PA",1170.97880702509
"154","Humberto de Campos_MA",817.133092900792
"155","Pinhal_RS",2151.31792153923
"156","Limeira do Oeste_MG",1040.01295823473
"157","Guapiara_SP",499.499347791889
"158","Divino de São Lourenço_ES",1282.71537339235
"159","Canindé de São Francisco_SE",492.422030574734
"160","Carmésia_MG",1233.33507691966
"161","Altamira do Paraná_PR",453.996351070571
"162","Santana do Matos_RN",790.279268138785
"163","Olhos-d'Água_MG",1116.00454769869
"164","Flexeiras_AL",1161.5761760246
"165","Capim_PB",890.80123747378
"166","Venda Nova do Imigrante_ES",1261.56071822836
"167","Gaspar_SC",1792.19809348039
"168","Inconfidentes_MG",1246.13720927766
"169","Ipueira_RN",699.094124350444
"170","Brasília de Minas_MG",1031.13828232472
"171","Itaguatins_TO",1256.44412547212
"172","Peruíbe_SP",447.052918289038
"173","Tijucas_SC",1814.45039546505
"174","Acarape_CE",2215.49257916994
"175","Jaguaruana_CE",2192.2119774522
"176","Pontão_RS",2131.39141198369
"177","Caibaté_RS",2295.91883569749
"178","Quinta do Sol_PR",380.956102362725
"179","Parisi_SP",497.080435924881
"180","São José de Ribamar_MA",783.826806038372
"181","Mirinzal_MA",894.261431060858
"182","Jauru_MT",1267.41639700786
"183","Corinto_MG",1087.59311644584
"184","Oeiras_PI",2132.81026880149
"185","Júlio Mesquita_SP",484.766527884373
"186","Pariconha_AL",1054.67172542826
"187","Teresópolis_RJ",609.320057704989
"188","Jaborá_SC",1908.2410862323
"189","Rio Bom_PR",325.068210189672
"190","Guaraci_SP",409.713186820683
"191","Mafra_SC",1741.14925535978
"192","Santa Luzia_MA",773.51963265764
"193","Flores do Piauí_PI",2006.48880791609
"194","Palmeiras_BA",1512.68714695551
"195","Fernão_SP",492.241292536031
"196","Grossos_RN",830.984045716293
"197","Alcântaras_CE",2274.75979423687
"198","Eugênio de Castro_RS",2243.12934401297
"199","Craíbas_AL",1103.26910876275
"200","Santo Antônio da Platina_PR",212.616631630421
"201","Capitão de Campos_PI",2308.118183021
"202","Porto Estrela_MT",1213.23976095322
"203","Alvorada de Minas_MG",1160.99685340585
"204","Campo Magro_PR",180.277864455369
"205","Araguaçu_TO",661.289636110428
"206","Tupanciretã_RS",2246.68871663503
"207","São Pedro do Butiá_RS",2285.44079275763
"208","São Sebastião do Tocantins_TO",1245.63666624349
"209","Floriano_PI",2070.78013193166
"210","Brejo_MA",644.751861139438
"211","Serraria_PB",867.663004538304
"212","Rurópolis_PA",1086.94765707896
"213","Redenção_PA",876.353903755847
"214","Água Limpa_GO",525.284133616904
"215","Ouricuri_PE",1948.02686455987
"216","Constantina_RS",2152.39830314582
"217","Porto Velho_RO",1964.89510012221
"218","Viçosa_RN",713.080157273462
"219","Rio Branco_AC",2769.0868507334
"220","Senador La Rocque_MA",863.103604527653
"221","Pontes Gestal_SP",499.980940173538
"222","Central de Minas_MG",1314.89900176254
"223","Itambé_PR",356.361101483827
"224","Alto Araguaia_MT",1399.14956430398
"225","Olinda_PE",2052.34011438092
"226","Regente Feijó_SP",601.6939075884
"227","Jati_CE",1928.99376928154
"228","Itaeté_BA",1442.68042317585
"229","Bernardino Batista_PB",822.869726086349
"230","Iguaracy_PE",1971.91563187031
"231","Ipiguá_SP",445.734838969004
"232","Pradópolis_SP",356.674202285812
"233","Cacimba de Dentro_PB",870.394025878477
"234","Vila Lângaro_RS",2109.05639765695
"235","Itaúba_MT",792.765655512625
"236","Reriutaba_CE",2261.39898219522
"237","Dolcinópolis_SP",529.106775851451
"238","Alvorada do Sul_PR",310.333679101212
