Sigla,Codigo,Munic_pio,Domic_lios - com _gua encanada - pessoas (2000),Domic_lios - com servi_o de coleta de lixo - pessoas (2000),Domic_lios - com energia el_trica - pessoas (2000),Domic_lios - com material de constru__o dur_vel - pessoas (1991),Domic_lios - com instala__o adequada de esgoto - pessoas (1991),Domic_lios - com _gua encanada - pessoas (1991),Domic_lios - com servi_o de coleta de lixo - pessoas (1991),Domic_lios - com energia el_trica - pessoas (1991),Taxa de participa__o - mulheres (2000),Populacao Ocupada (2000),Renda per capita - 1991,Renda per capita - 2000,ndice de Desenvolvimento Humano - 1991,ndice de Desenvolvimento Humano - 2000,Popula__o (2000),Popula__o rural (2000),Popula__o urbana (2000),Taxa de fecundidade (2000),ANS 2015,ANS 2016,Interna__es - 2015,Interna__es - 2016,Produ__o Ambulatorial do SUS - 2015,Produ__o Ambulatorial do SUS - 2016
RO,1100338,Nova Mamor_,29.99,56.94,62.63,74.7,20.3,16.55,56.5,52.77,0.3,5142.00,104.07,132.46,0.58,0.66,14778.00,7531.00,7247.00,3.20,404.00,437.00,420.00,177.00,154729.00,87324.00
RO,1100346,Alvorada D'Oeste,51.26,65.59,69.03,67.3,28,19.82,28.55,27.89,0.32,7649.00,77.96,162.11,0.60,0.69,19832.00,11286.00,8546.00,2.87,803.00,841.00,533.00,37.00,150062.00,NA
RO,1100379,Alto Alegre dos Parecis,36.79,70.79,56.32,NA,NA,8.03,NA,12.3,0.25,4979.00,78.83,111.78,0.57,0.67,12708.00,10259.00,2449.00,3.56,104.00,122.00,493.00,276.00,1056517.00,51787.00
RO,1100403,Alto Para_so,32.7,70.19,54.5,NA,NA,16.77,NA,20.82,0.46,5576.00,82.76,228.16,0.58,0.72,13118.00,9082.00,4036.00,3.15,462.00,438.00,320.00,107.00,635526.00,101305.00
RO,1100452,Buritis,34.86,65.62,58.15,NA,NA,5.16,NA,12.94,0.4,11775.00,131.01,239.68,0.60,0.69,25668.00,10334.00,15334.00,3.02,744.00,764.00,663.00,366.00,392064.00,206347.00
RO,1100502,Novo Horizonte do Oeste,49.76,58.06,72.87,NA,NA,5.87,NA,8.94,0.25,4638.00,115.28,210.71,0.59,0.71,12276.00,10932.00,1344.00,2.92,165.00,192.00,521.00,101.00,81471.00,11673.00
RO,1100601,Cacaul_ndia,41.58,48.91,73.5,NA,NA,11.32,NA,28.34,0.31,2140.00,73.43,202.22,0.58,0.71,5372.00,3522.00,1850.00,3.09,156.00,157.00,97.00,9.00,36925.00,NA
RO,1100700,Campo Novo de Rond_nia,21.17,55.77,39.4,NA,NA,12.15,NA,27.88,0.2,4501.00,99.36,212.15,0.59,0.70,11463.00,8463.00,3000.00,3.37,79.00,88.00,262.00,46.00,95592.00,35750.00
RO,1100809,Candeias do Jamari,47.11,71.49,86.02,NA,NA,16.09,NA,69.04,0.34,4471.00,138.69,133.56,0.60,0.67,13107.00,3753.00,9354.00,4.03,881.00,775.00,NA,NA,213185.00,85766.00
RO,1100908,Castanheiras,50.24,33.26,74.12,NA,NA,12.42,NA,15.83,0.2,1357.00,64.22,150.06,0.54,0.70,4212.00,3438.00,774.00,3.18,62.00,66.00,NA,NA,34264.00,21649.00
RO,1100924,Chupinguaia,59.9,84.45,69.87,NA,NA,29.63,NA,38.87,0.38,2337.00,110.22,164.97,0.60,0.71,5521.00,3567.00,1954.00,3.52,169.00,191.00,NA,NA,117749.00,41685.00
RO,1100940,Cujubim,33.75,49.48,58.39,NA,NA,21.46,NA,33.65,0.4,3018.00,78.08,191.79,0.60,0.70,6536.00,3340.00,3196.00,3.37,233.00,230.00,35.00,NA,58816.00,15035.00
RO,1101005,Governador Jorge Teixeira,27.55,35.65,46.29,NA,NA,6.74,NA,11.84,0.5,6656.00,104.83,159.64,0.57,0.68,13641.00,12083.00,1558.00,3.44,76.00,81.00,205.00,46.00,267356.00,89423.00
RO,1101104,Itapu_ do Oeste,46.35,70.67,73.96,NA,NA,30.87,NA,54.52,0.29,2187.00,132.72,182.86,0.61,0.70,6822.00,3145.00,3677.00,3.66,725.00,629.00,NA,NA,NA,NA
RO,1101203,Ministro Andreazza,58.83,89.12,71.96,NA,NA,16.33,41.32,18.33,0.27,4617.00,113.65,191.55,0.61,0.70,11342.00,9182.00,2160.00,3.19,144.00,168.00,319.00,NA,145339.00,39002.00
RO,1101302,Mirante da Serra,49.38,45.61,71.89,NA,NA,11.91,NA,19.25,0.34,5379.00,80.73,176.58,0.60,0.69,13154.00,7421.00,5733.00,2.90,335.00,325.00,396.00,NA,65493.00,25263.00
RO,1101401,Monte Negro,46.75,68.63,71.93,NA,NA,25.63,NA,26.26,0.27,4924.00,119.26,170.88,0.61,0.69,12627.00,6905.00,5722.00,3.27,217.00,205.00,34.00,NA,91982.00,23898.00
RO,1101435,Nova Uni_o,44.75,17.8,56.53,NA,NA,7.06,NA,14.28,0.26,2797.00,70.24,124.54,0.57,0.68,8233.00,6904.00,1329.00,2.52,95.00,92.00,194.00,13.00,49987.00,14243.00
RO,1101450,Parecis,32.29,79.06,46.94,NA,NA,16.15,NA,13.46,0.24,1009.00,96.23,117.66,0.58,0.67,3622.00,2488.00,1134.00,3.33,68.00,79.00,230.00,76.00,31024.00,NA
RO,1101468,Pimenteiras do Oeste,46.94,42.93,85.3,NA,NA,9.55,4.47,20.24,0.34,892.00,83.63,135.19,0.62,0.72,2527.00,1129.00,1398.00,3.88,29.00,34.00,49.00,59.00,13526.00,6840.00
RO,1101476,Primavera de Rond_nia,57.36,59.73,70.3,NA,NA,18.41,NA,21.05,0.47,2135.00,78.36,127.31,0.59,0.69,4311.00,3152.00,1159.00,2.76,115.00,107.00,NA,NA,68192.00,20310.00
RO,1101484,S_o Felipe D'Oeste,56.43,72.38,66.03,NA,NA,7.98,NA,12.8,0.36,3270.00,66.81,138.72,0.58,0.69,7056.00,6025.00,1031.00,2.83,154.00,163.00,NA,NA,NA,NA
RO,1101492,S_o Francisco do Guapor_,27.61,56.26,57.04,NA,NA,3.23,NA,17.36,0.44,5266.00,163.66,239.08,0.65,0.72,11085.00,5859.00,5226.00,3.39,225.00,237.00,1284.00,321.00,346090.00,206345.00
RO,1101500,Seringueiras,29.75,58.42,55.84,NA,NA,6.99,NA,11.8,0.53,5914.00,78.00,154.30,0.60,0.69,11655.00,7863.00,3792.00,3.64,236.00,264.00,473.00,275.00,382597.00,79385.00
RO,1101559,Teixeir_polis,60.45,65.78,70.96,NA,NA,9.77,NA,14.8,0.29,2232.00,74.93,147.28,0.59,0.69,5618.00,4464.00,1154.00,2.52,120.00,121.00,63.00,43.00,74957.00,26507.00
RO,1101609,Theobroma,34.4,41.36,56.9,NA,NA,6.19,NA,16.22,0.31,4706.00,105.70,112.11,0.60,0.66,11140.00,9625.00,1515.00,3.15,171.00,179.00,149.00,9.00,NA,NA
RO,1101708,Urup_,40.51,56.7,57.62,NA,NA,16.47,NA,13.63,0.27,5734.00,93.79,128.29,0.61,0.67,14880.00,10878.00,4002.00,2.72,348.00,399.00,416.00,113.00,240044.00,111012.00
RO,1101757,Vale do Anari,16.41,5.88,38.49,NA,NA,4.38,NA,10.48,0.27,3414.00,75.88,227.27,0.56,0.69,7737.00,5901.00,1836.00,3.60,105.00,102.00,60.00,NA,106418.00,55847.00
RO,1101807,Vale do Para_so,49.05,62.06,63.92,NA,NA,10.71,NA,11.49,0.25,3709.00,69.61,175.39,0.59,0.70,9863.00,8023.00,1840.00,2.91,144.00,167.00,120.00,51.00,76349.00,46623.00
AC,1200013,Acrel_ndia,21.46,46.73,56.23,NA,NA,0.96,NA,16.68,0.26,2666.00,102.23,136.54,0.58,0.68,7935.00,4429.00,3506.00,4.36,147.00,200.00,123.00,109.00,115296.00,58832.00
AC,1200054,Assis Brasil,27.39,87.93,65.34,53.6,5,7.29,40.18,48.21,0.41,1102.00,91.83,115.16,0.58,0.67,3490.00,1339.00,2151.00,3.13,71.00,76.00,194.00,70.00,69225.00,42828.00
AC,1200104,Brasil_ia,26.86,82.19,55.88,78.3,12.9,17.12,41.61,39.18,0.32,6436.00,95.39,132.38,0.55,0.67,17013.00,7987.00,9026.00,3.06,219.00,215.00,2313.00,1187.00,353482.00,218393.00
AC,1200138,Bujari,17.34,87.61,43.85,NA,NA,3.07,NA,24.26,0.28,2082.00,103.56,118.82,0.57,0.64,5826.00,4198.00,1628.00,3.48,99.00,94.00,NA,NA,342190.00,49494.00
AC,1200179,Capixaba,13.12,70.61,35.91,NA,NA,13.64,NA,18.61,0.19,1859.00,117.35,108.16,0.54,0.61,5206.00,3685.00,1521.00,4.43,34.00,40.00,NA,NA,67357.00,35582.00
AC,1200203,Cruzeiro do Sul,27.49,37.25,80.02,56.9,21.6,17.94,38.23,57.17,0.36,21244.00,101.91,140.20,0.61,0.67,67441.00,28470.00,38971.00,4.90,1077.00,1044.00,9441.00,3649.00,1605495.00,720750.00
AC,1200252,Epitaciol_ndia,24.5,64.54,70.8,NA,NA,12.19,46.28,58.93,0.31,4003.00,113.35,134.36,0.60,0.68,11028.00,3624.00,7404.00,3.25,137.00,160.00,NA,NA,98312.00,143936.00
AC,1200302,Feij_,16.74,44.32,42.75,44.7,23.7,11.87,14.28,35.89,0.22,6038.00,78.04,64.55,0.50,0.54,26722.00,15482.00,11240.00,4.53,178.00,182.00,28.00,14.00,219804.00,105355.00
AC,1200328,Jord_o,3.1,19.95,16.85,NA,NA,1.07,1.65,5.13,0.16,654.00,32.72,34.53,0.36,0.48,4454.00,3591.00,863.00,4.53,3850.00,3854.00,NA,NA,46802.00,26634.00
AC,1200336,M_ncio Lima,9.21,0.7,64.88,42.6,NA,1.42,0.29,33.76,0.26,3325.00,58.73,95.01,0.55,0.64,11095.00,5301.00,5794.00,4.90,39.00,46.00,611.00,163.00,147382.00,67525.00
AC,1200344,Manoel Urbano,10.09,31.49,51.55,46.8,NA,5.37,6.67,42.69,0.44,2424.00,65.10,91.65,0.51,0.60,6374.00,3093.00,3281.00,4.53,26.00,25.00,665.00,290.00,80593.00,47198.00
AC,1200351,Marechal Thaumaturgo,4.87,6.78,23.62,NA,NA,0.42,2.04,2.03,0.2,1323.00,41.70,51.68,0.40,0.53,8295.00,7310.00,985.00,6.01,17.00,16.00,10.00,63.00,176147.00,40590.00
AC,1200385,Pl_cido de Castro,19.06,69.88,64.9,92.9,4.5,6.02,76.14,35.32,0.31,5356.00,80.91,114.44,0.57,0.68,15172.00,8193.00,6979.00,3.83,114.00,119.00,611.00,305.00,310336.00,215726.00
AC,1200393,Porto Walter,23.06,1.03,47.34,NA,NA,1.43,3.12,8.4,0.43,2025.00,38.27,69.52,0.43,0.54,5485.00,4044.00,1441.00,5.89,18.00,9.00,162.00,47.00,165903.00,27356.00
AC,1200401,Rio Branco,53.2,89.43,95.22,94.8,40.8,51.5,65.57,92.98,0.46,91831.00,219.50,264.43,0.70,0.75,253059.00,26761.00,226298.00,2.43,41462.00,38451.00,27320.00,11830.00,9092839.00,4501029.00
AC,1200427,Rodrigues Alves,8.07,1.6,45.66,NA,NA,1.18,NA,7.23,0.25,2178.00,43.80,65.19,0.49,0.55,8093.00,5461.00,2632.00,6.68,14.00,16.00,283.00,154.00,469676.00,17859.00
AC,1200435,Santa Rosa do Purus,25.85,20.23,35.11,NA,NA,0.68,NA,13.76,0.15,374.00,81.89,45.12,0.45,0.53,2246.00,1728.00,518.00,4.53,5.00,4.00,101.00,88.00,30115.00,15261.00
